label,area_um2,ecd_um,circularity,solidity,centroid_x_px,centroid_y_px,type
1414,1.103,1.185,0.8511,0.8529,246.4,332.3,intra
1415,0.761,0.984,0.9774,0.7143,313.6,332.0,intra
1417,7.187,3.025,0.43,0.756,568.4,336.5,inter
1418,0.646,0.907,1.0,0.9444,664.2,330.1,intra
1419,0.913,1.078,0.6661,0.7742,81.5,334.3,intra
1420,0.532,0.823,1.0,0.9333,86.2,330.7,intra
1421,0.951,1.1,0.9229,0.9259,115.8,332.4,intra
1422,0.532,0.823,1.0,0.9333,598.1,331.6,intra
1423,0.532,0.823,1.0,0.875,64.6,333.4,intra
1424,1.521,1.392,1.0,0.9302,126.7,334.9,intra
1425,1.863,1.54,0.8778,0.9074,154.7,335.4,intra
1426,0.532,0.823,1.0,0.9333,330.9,333.6,intra
1428,1.217,1.245,0.8282,0.8421,630.6,335.2,intra
1429,2.32,1.719,0.5193,0.7262,32.9,336.7,intra
1430,3.955,2.244,0.5148,0.782,288.8,339.1,intra
1431,0.57,0.852,1.0,0.9375,45.2,334.3,intra
1432,0.722,0.959,1.0,0.7917,91.8,336.2,intra
1433,0.608,0.88,1.0,0.8421,264.7,335.4,intra
1435,1.179,1.225,0.6163,0.7045,480.5,335.5,intra
1436,0.799,1.008,1.0,0.9545,533.6,335.0,intra
1437,3.574,2.133,0.5931,0.7833,648.5,337.6,intra
1438,0.837,1.032,0.7798,0.7857,376.8,336.7,intra
1439,1.445,1.356,0.7452,0.8085,465.8,337.8,intra
1440,2.624,1.828,0.4734,0.7041,669.4,336.6,intra
1441,1.407,1.338,0.9514,0.8043,57.2,338.5,intra
1442,0.761,0.984,1.0,0.8333,199.2,336.8,intra
1443,0.57,0.852,1.0,0.8824,489.1,337.6,intra
1444,0.646,0.907,1.0,0.7727,585.2,339.4,intra
1445,2.472,1.774,0.5378,0.7386,6.9,343.4,intra
1446,0.761,0.984,1.0,0.9524,106.0,338.6,intra
1448,2.852,1.906,0.7893,0.8152,303.4,342.5,intra
1449,1.559,1.409,0.4332,0.5694,323.2,342.3,intra
1450,3.156,2.005,0.472,0.7094,390.0,340.3,intra
1451,0.913,1.078,0.8085,0.8,551.4,339.3,intra
1452,1.065,1.164,0.72,0.7568,135.3,340.0,intra
1453,0.989,1.122,1.0,0.963,257.3,340.4,intra
