label,area_um2,ecd_um,circularity,solidity,centroid_x_px,centroid_y_px,type
169,3.194,2.017,1.0,1.0,565.4,392.1,intra
170,0.722,0.959,1.0,0.9048,632.1,394.8,intra
171,7.605,3.112,0.174,0.4808,164.3,418.4,inter
172,0.532,0.823,1.0,1.0,505.9,394.1,intra
173,1.597,1.426,1.0,0.9333,506.0,401.1,intra
174,0.761,0.984,1.0,0.9524,23.6,401.8,intra
175,46.2,7.67,0.3787,0.8073,607.7,419.6,inter
176,0.875,1.055,1.0,0.8846,578.2,406.1,intra
178,0.951,1.1,0.5866,0.5814,455.5,408.7,intra
179,1.559,1.409,0.9479,0.8913,474.4,410.0,intra
180,1.635,1.443,0.3564,0.6056,432.2,411.7,intra
181,11.369,3.805,0.6557,0.8667,540.5,421.8,intra
182,0.722,0.959,0.8606,0.8261,111.2,413.6,intra
183,0.608,0.88,1.0,0.9412,286.3,412.9,intra
184,0.57,0.852,1.0,0.6818,528.1,412.7,intra
185,4.069,2.276,0.3949,0.6815,475.6,421.8,intra
186,0.837,1.032,0.9261,0.8148,187.1,418.8,intra
187,16.237,4.547,0.3989,0.8164,314.0,425.2,inter
188,0.722,0.959,1.0,1.0,67.5,420.2,intra
189,0.761,0.984,1.0,0.9091,464.6,419.2,intra
190,0.913,1.078,0.9713,0.96,658.1,422.2,intra
192,0.57,0.852,1.0,0.8824,60.4,422.7,intra
193,1.825,1.524,1.0,0.9412,288.1,424.3,intra
194,2.434,1.76,0.7142,0.8421,444.3,428.3,intra
195,4.829,2.48,0.5389,0.7938,237.8,428.7,intra
196,1.711,1.476,0.9301,0.9,2.5,428.5,intra
197,0.646,0.907,1.0,0.85,483.5,430.1,intra
