image_name,morphology,p_total_binary,p_total_2d,p_total,p_intra,p_inter,n_intra,n_inter,mean_ecd_intra_um,mean_ecd_inter_um,mean_circ_intra,mean_circ_inter,threshold_method,circularity_thr,um_per_pixel
connected_79.png,interconnected,0.260256,0.259220,0.259220,0.027665,0.231556,130,43,1.530,7.390,0.8190,0.2904,Otsu,0.5,0.195
distributed_77.png,distributed,0.245590,0.232252,0.232252,0.177991,0.054261,1478,68,1.254,3.294,0.8358,0.3042,Otsu,0.5,0.195
