Target_P,Delta,Grain_Radius,Real_P,K_eff
0.1,0.1,2.328125,0.0984929509023093,0.13901879333333333
0.1,0.1642857142857143,5.375,0.09536812536448522,0.037873284
0.1,0.2285714285714286,6.203369140625,0.130969002915717,0.024711835666666664
0.1,0.2928571428571429,6.203369140625,0.16562338484027667,0.018999099333333335
0.1,0.3571428571428572,6.203369140625,0.19934402332416587,0.015569952333333333
0.1,0.4214285714285715,6.203369140625,0.23214367055497517,0.012594029666666668
0.1,0.48571428571428577,6.203369140625,0.26403507871766424,0.010237703666666665
0.1,0.55,6.203369140625,0.29503099999923954,0.009079430033333334
0.1,0.6142857142857143,6.203369140625,0.3251441865869522,0.0081795582
0.1,0.6785714285714286,6.203369140625,0.35438739066775643,0.007376330533333334
0.1,0.7428571428571429,6.203369140625,0.38277336442721577,0.006459891666666666
0.1,0.8071428571428572,6.203369140625,0.4103148600535573,0.005841705466666666
0.1,0.8714285714285716,6.203369140625,0.4370246297313102,0.005414917733333333
0.1,0.9357142857142858,6.203369140625,0.4629154256487005,0.005047232333333333
0.1,1.0,6.203369140625,0.48799999999158183,0.004644745666666667
0.2,0.1,1.185546875,0.19747680071976748,0.06382928766666666
0.2,0.1642857142857143,1.87109375,0.20038558609390275,0.022058568333333334
0.2,0.2285714285714286,2.7470703125,0.19596622425418697,0.019415932
0.2,0.2928571428571429,3.546875,0.2003996648622821,0.016811156666666664
0.2,0.3571428571428572,5.375,0.19934402332429513,0.015780689333333334
0.2,0.4214285714285715,6.203369140625,0.23214367055497517,0.012594029333333335
0.2,0.48571428571428577,6.203369140625,0.26403507871766424,0.010237703666666665
0.2,0.55,6.203369140625,0.29503099999923954,0.009079430033333334
0.2,0.6142857142857143,6.203369140625,0.3251441865869522,0.008179537566666667
0.2,0.6785714285714286,6.203369140625,0.35438739066775643,0.007376328366666666
0.2,0.7428571428571429,6.203369140625,0.38277336442721577,0.006459891666666666
0.2,0.8071428571428572,6.203369140625,0.4103148600535573,0.005841705466666666
0.2,0.8714285714285716,6.203369140625,0.4370246297313102,0.005414917733333333
0.2,0.9357142857142858,6.203369140625,0.4629154256487005,0.005047232333333333
0.2,1.0,6.203369140625,0.48799999999158183,0.004644745666666667
0.3,0.1,0.74755859375,0.2991610705513847,0.03612337799999999
0.3,0.1642857142857143,1.2236328125,0.301233234370517,0.013666672666666666
0.3,0.2285714285714286,1.6806640625,0.30022118394397673,0.011609267000000001
0.3,0.2928571428571429,2.099609375,0.30020419093303236,0.010735562666666665
0.3,0.3571428571428572,2.7107696533203125,0.29487389903929173,0.010651155
0.3,0.4214285714285715,3.0380706787109375,0.2610039578701242,0.011533797
0.3,0.48571428571428577,3.5522308349609375,0.2920083932429108,0.009725394966666667
0.3,0.55,5.375,0.295030999999118,0.0093069856
0.3,0.6142857142857143,6.203369140625,0.3251441865869522,0.008179543266666667
0.3,0.6785714285714286,6.203369140625,0.35438739066775643,0.0073763314333333335
0.3,0.7428571428571429,6.203369140625,0.38277336442721577,0.006459891666666666
0.3,0.8071428571428572,6.203369140625,0.4103148600535573,0.005841705466666666
0.3,0.8714285714285716,6.203369140625,0.4370246297313102,0.005414917733333333
0.3,0.9357142857142858,6.203369140625,0.4629154256487005,0.005047232333333333
0.3,1.0,6.203369140625,0.48799999999158183,0.004644745666666667
